월별,기간,전체,반도체,철강제품,승용차,석유제품,무선통신기기,선박,자동차부품,컴퓨터주변기기,정밀기기,가전제품
201706,01~20,31826331,4533329,2243841,1454783,1507664,995862,6494898,1140858,396286,537489,403248
201706,01~30,51272452,8247070,3978824,3551669,2446645,1449643,7310385,1890967,713925,893326,652833
201707,01~10,14238815,1947218,764855,539759,750848,334787,4169199,439846,180557,217897,164790
201707,01~20,30032724,4518214,1994500,1815198,1626061,940539,4772795,1187181,423228,501044,437518
201707,01~31,48830440,8103895,3588936,3404373,2742491,1386105,6006358,1828309,753335,804420,694355
201708,01~10,12442644,2522841,987808,107478,1011278,487517,439880,402851,231782,244390,195938
201708,01~20,25048052,4860739,1867510,885423,1857590,1010733,1039300,915226,458747,459463,402992
201708,01~31,47105569,8981580,3722359,2627911,2914007,1726494,2390667,1794245,794567,810937,770673
201709,01~10,12305209,2503428,890820,548718,889066,593896,252761,523396,186394,237975,208090
201709,01~20,30014154,6048725,2158001,1713764,1890030,1229889,1183385,1229766,422453,577840,550060
201709,01~30,55115240,9941741,5829077,3548641,3689671,1923574,3030310,2070316,854009,975499,874169
201710,01~10,6716871,2040192,307293,37968,406591,319827,1669823,86733,70421,83633,60329
201710,01~20,26494576,5918316,1688621,1115453,1484135,1138766,3013125,861520,403397,442550,370631
201710,01~31,44791239,9701470,3252285,2680873,2630547,1951910,3234131,1498036,746278,803501,651942
201711,01~10,16075304,3144983,1141106,993464,1184764,778424,147246,697342,230914,355395,217734
201711,01~20,29864929,5868387,2112431,1825636,2178708,1354632,688012,1144325,463531,684624,391862
201711,01~30,49707197,9827528,3741361,3728428,3462497,2055615,749677,1877152,797631,1112046,619319
201712,01~10,12559426,2564567,869443,557653,999854,487717,489743,485175,202719,276307,129338
201712,01~20,30948796,6094172,2153307,1457317,2171732,1065412,1778259,1100448,515034,690574,391339
201712,01~31,49040139,9938211,3734046,2751007,3426569,1533064,2460262,1727054,776847,1077911,541271
